Keyword,Total_TF,Total_DF,DoV,DoD,Weak_DoV,Weak_DoD,Weak_Signal
ministra,777,517,1.7655737564105134e-05,0.0025689161427804082,True,True,True
excepcion,884,585,1.5907759665761274e-05,0.0023992762153942217,True,True,True
interes,828,621,1.56696647014538e-05,0.0026765754129839353,True,True,True
construir,833,586,1.5387996426876892e-05,0.002371572950649791,True,True,True
distrito,882,595,1.7635601004141016e-05,0.0024806655536729946,True,True,True
terminal,793,505,1.6416592017906496e-05,0.002470146624027982,True,True,True
palacios,572,520,1.5393793461113795e-05,0.0032655864998864174,True,True,True
conflicto,834,601,1.9553659887982857e-05,0.003201569703962687,True,True,True
vehicular,833,505,1.62997338186418e-05,0.0023940365855874735,True,True,True
